,date,team,opponent,game_time,attendance,night_game,home
88,"Saturday, Jul 8 2017",MIA,SFG,3:01,"41,480",1,0
89,"Sunday, Jul 9 2017",MIA,SFG,4:10,"41,516",0,0
90,"Friday, Jul 14 2017",MIA,LAD,3:00,"21,858",1,1
91,"Saturday, Jul 15 2017",MIA,LAD,3:19,"22,609",1,1
92,"Sunday, Jul 16 2017",MIA,LAD,3:18,"22,119",0,1
93,"Monday, Jul 17 2017",MIA,PHI,3:41,"17,146",1,1
94,"Tuesday, Jul 18 2017",MIA,PHI,2:41,"18,176",1,1
95,"Wednesday, Jul 19 2017",MIA,PHI,3:04,"31,854",0,1
96,"Friday, Jul 21 2017",MIA,CIN,2:57,"21,851",1,0
97,"Saturday, Jul 22 2017",MIA,CIN,3:12,"24,099",1,0
98,"Sunday, Jul 23 2017",MIA,CIN,2:58,"20,526",0,0
99,"Monday, Jul 24 2017",MIA,TEX,2:34,"24,654",1,0
100,"Tuesday, Jul 25 2017",MIA,TEX,2:54,"25,074",1,0
101,"Wednesday, Jul 26 2017",MIA,TEX,4:02,"26,471",1,0
102,"Thursday, Jul 27 2017",MIA,CIN,3:18,"19,986",1,1
103,"Friday, Jul 28 2017",MIA,CIN,2:54,"17,440",1,1
104,"Saturday, Jul 29 2017",MIA,CIN,2:32,"20,297",1,1
105,"Sunday, Jul 30 2017",MIA,CIN,3:04,"19,747",0,1
106,"Monday, Jul 31 2017",MIA,WSN,2:12,"18,962",1,1
108,"Tuesday, Aug 1 2017",MIA,WSN,3:05,"17,742",1,1
109,"Wednesday, Aug 2 2017",MIA,WSN,2:54,"17,890",1,1
110,"Friday, Aug 4 2017",MIA,ATL,2:40,"35,914",1,0
111,"Saturday, Aug 5 2017",MIA,ATL,2:58,"40,731",1,0
112,"Sunday, Aug 6 2017",MIA,ATL,2:29,"29,651",0,0
113,"Monday, Aug 7 2017",MIA,WSN,2:58,"21,799",1,0
114,"Tuesday, Aug 8 2017",MIA,WSN,3:07,"25,406",1,0
115,"Wednesday, Aug 9 2017",MIA,WSN,3:02,"25,951",1,0
116,"Thursday, Aug 10 2017",MIA,WSN,2:51,"23,904",1,0
117,"Friday, Aug 11 2017",MIA,COL,3:24,"20,096",1,1
118,"Saturday, Aug 12 2017",MIA,COL,3:07,"20,399",1,1
119,"Sunday, Aug 13 2017",MIA,COL,3:06,"20,769",0,1
120,"Monday, Aug 14 2017",MIA,SFG,2:44,"17,096",1,1
121,"Tuesday, Aug 15 2017",MIA,SFG,3:13,"21,694",1,1
122,"Wednesday, Aug 16 2017",MIA,SFG,2:49,"17,102",0,1
123,"Friday, Aug 18 2017",MIA,NYM,2:53,"25,958",1,0
124,"Saturday, Aug 19 2017",MIA,NYM,2:48,"30,171",1,0
125,"Sunday, Aug 20 2017",MIA,NYM,2:53,"26,464",0,0
126,"Tuesday, Aug 22 (1) 2017",MIA,PHI,3:06,,0,0
127,"Tuesday, Aug 22 (2) 2017",MIA,PHI,3:22,"20,761",1,0
128,"Wednesday, Aug 23 2017",MIA,PHI,2:50,"19,161",1,0
129,"Thursday, Aug 24 2017",MIA,PHI,3:14,"18,083",0,0
130,"Friday, Aug 25 2017",MIA,SDP,2:53,"22,489",1,1
131,"Saturday, Aug 26 2017",MIA,SDP,3:53,"19,913",1,1
132,"Sunday, Aug 27 2017",MIA,SDP,2:31,"23,725",0,1
133,"Monday, Aug 28 2017",MIA,WSN,3:06,"20,838",1,0
134,"Tuesday, Aug 29 2017",MIA,WSN,3:11,"25,924",1,0
135,"Wednesday, Aug 30 2017",MIA,WSN,2:36,"25,019",0,0
136,"Thursday, Aug 31 2017",MIA,PHI,3:09,"17,013",1,1
138,"Friday, Sep 1 2017",MIA,PHI,2:44,"17,998",1,1
139,"Saturday, Sep 2 2017",MIA,PHI,3:37,"18,262",1,1
140,"Sunday, Sep 3 2017",MIA,PHI,3:46,"19,404",0,1
141,"Monday, Sep 4 2017",MIA,WSN,3:10,"17,349",1,1
142,"Tuesday, Sep 5 2017",MIA,WSN,2:50,"15,364",1,1
143,"Wednesday, Sep 6 2017",MIA,WSN,3:02,"14,390",1,1
144,"Thursday, Sep 7 2017",MIA,ATL,3:23,"23,561",1,0
145,"Friday, Sep 8 2017",MIA,ATL,3:16,"30,056",1,0
146,"Saturday, Sep 9 2017",MIA,ATL,3:21,"34,043",1,0
147,"Sunday, Sep 10 2017",MIA,ATL,3:47,"34,974",0,0
148,"Tuesday, Sep 12 2017",MIA,PHI,4:57,"16,439",1,0
149,"Wednesday, Sep 13 2017",MIA,PHI,2:25,"16,745",1,0
150,"Thursday, Sep 14 2017",MIA,PHI,3:06,"16,302",1,0
151,"Friday, Sep 15 2017",MIA,MIL,3:23,"19,369",1,0
152,"Saturday, Sep 16 2017",MIA,MIL,3:03,"25,079",1,0
153,"Sunday, Sep 17 2017",MIA,MIL,3:11,"24,535",0,0
154,"Monday, Sep 18 2017",MIA,NYM,3:22,"16,385",1,1
155,"Tuesday, Sep 19 2017",MIA,NYM,3:22,"16,405",1,1
156,"Wednesday, Sep 20 2017",MIA,NYM,2:42,"16,033",0,1
157,"Friday, Sep 22 2017",MIA,ARI,3:54,"34,588",1,0
158,"Saturday, Sep 23 2017",MIA,ARI,3:51,"39,259",1,0
159,"Sunday, Sep 24 2017",MIA,ARI,3:10,"31,539",0,0
160,"Monday, Sep 25 2017",MIA,COL,3:30,"24,685",1,0
161,"Tuesday, Sep 26 2017",MIA,COL,2:39,"30,409",1,0
162,"Wednesday, Sep 27 2017",MIA,COL,3:27,"27,497",0,0
163,"Thursday, Sep 28 2017",MIA,ATL,3:06,"17,305",1,1
164,"Friday, Sep 29 2017",MIA,ATL,3:08,"19,527",1,1
